city,Year,Month,Hour,Mean_GHI_Wh_m2,Mean_DNI_Wh_m2,Mean_DHI_Wh_m2,Mean_Temperature_C,Mean_Dew_Point_C,Mean_Wind_Speed_ms,Mean_Station_Pressure_Pa
Calgary,1998,1,0,0.0,0.0,0.0,-14.52,-19.36,2.54,88377.74
Calgary,1998,1,1,0.0,0.0,0.0,-14.87,-19.33,2.93,88376.45
Calgary,1998,1,2,0.0,0.0,0.0,-14.86,-19.56,2.84,88386.13
Calgary,1998,1,3,0.0,0.0,0.0,-14.87,-19.49,2.59,88381.29
Calgary,1998,1,4,0.0,0.0,0.0,-14.55,-19.25,2.69,88370.65
Calgary,1998,1,5,0.0,0.0,0.0,-14.72,-19.28,2.92,88370.65
Calgary,1998,1,6,0.0,0.0,0.0,-14.77,-19.12,2.75,88370.97
Calgary,1998,1,7,0.0,0.0,0.0,-14.36,-18.77,2.7,88386.45
Calgary,1998,1,8,3.96,1.89,2.01,-14.47,-18.58,2.95,88398.39
Calgary,1998,1,9,52.5,106.41,37.92,-14.02,-18.43,2.95,88424.19
Calgary,1998,1,10,127.75,241.83,74.19,-12.69,-17.67,3.28,88439.35
Calgary,1998,1,11,187.07,288.48,104.01,-11.56,-16.82,3.26,88411.61
Calgary,1998,1,12,216.4,336.39,109.38,-10.86,-16.39,3.06,88380.65
Calgary,1998,1,13,224.13,387.52,103.97,-10.26,-16.17,3.26,88352.9
Calgary,1998,1,14,188.02,380.39,89.5,-10.17,-16.27,3.2,88350.0
Calgary,1998,1,15,122.05,387.34,54.12,-10.64,-16.55,2.88,88371.94
Calgary,1998,1,16,35.64,224.2,18.15,-11.47,-17.08,2.69,88392.58
Calgary,1998,1,17,0.02,0.0,0.02,-12.07,-17.32,2.45,88416.13
Calgary,1998,1,18,0.0,0.0,0.0,-12.92,-18.14,2.64,88418.71
Calgary,1998,1,19,0.0,0.0,0.0,-13.95,-18.81,2.53,88417.1
Calgary,1998,1,20,0.0,0.0,0.0,-14.21,-18.96,2.61,88413.23
Calgary,1998,1,21,0.0,0.0,0.0,-14.43,-19.19,2.34,88412.58
Calgary,1998,1,22,0.0,0.0,0.0,-14.85,-19.54,2.43,88410.0
Calgary,1998,1,23,0.0,0.0,0.0,-14.42,-19.13,2.42,88412.58
Calgary,1998,2,0,0.0,0.0,0.0,-4.66,-9.92,2.48,88223.57
Calgary,1998,2,1,0.0,0.0,0.0,-5.07,-10.02,2.71,88227.14
Calgary,1998,2,2,0.0,0.0,0.0,-5.17,-10.26,2.89,88226.79
Calgary,1998,2,3,0.0,0.0,0.0,-5.61,-10.53,2.65,88228.21
Calgary,1998,2,4,0.0,0.0,0.0,-5.51,-10.69,2.6,88233.21
Calgary,1998,2,5,0.0,0.0,0.0,-5.94,-10.94,2.24,88239.64
Calgary,1998,2,6,0.0,0.0,0.0,-6.15,-10.97,2.24,88237.5
Calgary,1998,2,7,2.48,1.17,1.23,-6.35,-10.88,2.35,88250.36
Calgary,1998,2,8,32.72,82.39,21.78,-5.02,-9.82,1.99,88265.36
Calgary,1998,2,9,148.49,398.41,58.71,-2.69,-9.01,2.41,88269.29
Calgary,1998,2,10,270.54,552.24,87.18,-0.49,-8.03,2.77,88258.93
Calgary,1998,2,11,331.31,534.09,111.89,0.58,-7.55,2.99,88244.64
Calgary,1998,2,12,373.52,583.99,115.5,1.58,-7.42,3.53,88207.5
Calgary,1998,2,13,357.1,529.56,126.84,1.61,-7.14,4.12,88188.21
Calgary,1998,2,14,284.17,398.18,128.63,1.64,-7.4,4.21,88180.71
Calgary,1998,2,15,216.39,375.96,101.07,1.18,-7.39,3.83,88196.07
Calgary,1998,2,16,133.13,433.46,51.35,0.4,-7.3,3.39,88205.71
Calgary,1998,2,17,31.14,216.53,14.17,-0.93,-7.67,2.85,88227.5
Calgary,1998,2,18,0.04,0.0,0.04,-1.85,-7.79,2.63,88250.0
Calgary,1998,2,19,0.0,0.0,0.0,-2.45,-8.22,2.76,88260.0
Calgary,1998,2,20,0.0,0.0,0.0,-2.9,-8.75,2.54,88252.14
Calgary,1998,2,21,0.0,0.0,0.0,-3.26,-9.0,2.7,88254.64
Calgary,1998,2,22,0.0,0.0,0.0,-3.96,-9.5,2.7,88257.5
Calgary,1998,2,23,0.0,0.0,0.0,-4.0,-9.67,3.01,88260.71
Calgary,1998,3,0,0.0,0.0,0.0,-6.24,-9.54,3.07,88923.55
Calgary,1998,3,1,0.0,0.0,0.0,-6.42,-9.61,3.16,88918.39
Calgary,1998,3,2,0.0,0.0,0.0,-6.81,-9.89,3.15,88907.74
Calgary,1998,3,3,0.0,0.0,0.0,-7.06,-10.03,2.81,88896.13
Calgary,1998,3,4,0.0,0.0,0.0,-7.31,-10.18,2.67,88910.65
Calgary,1998,3,5,0.0,0.0,0.0,-7.52,-10.16,2.63,88910.97
Calgary,1998,3,6,2.09,1.0,1.02,-7.43,-10.1,3.04,88919.68
Calgary,1998,3,7,41.33,94.7,27.25,-6.48,-9.53,2.95,88926.77
Calgary,1998,3,8,156.84,260.64,84.41,-5.09,-8.67,2.93,88935.81
